"sort_order","recipe_key","zh_name","en_name","cuisine_key","meal_type","difficulty","total_minutes","minimum_required_ingredients","target_tutorial_step_range","recipe_steps_status","tutorial_steps_status","needs_review","notes"
"1","tomato_egg_stir_fry","番茄炒蛋","Tomato Egg Stir Fry","chinese_home","stir_fry","beginner","15","tomato, egg","4-6","todo","todo","false",""
"2","scallion_egg_fried_rice","葱花鸡蛋炒饭","Scallion Egg Fried Rice","chinese_home","fried_rice","beginner","15","rice, egg, scallion","8-14","todo","todo","false",""
"3","garlic_broccoli","蒜香西兰花","Garlic Broccoli","chinese_home","side","beginner","12","broccoli, garlic","4-6","todo","todo","false",""
"4","cabbage_egg_stir_fry","卷心菜炒蛋","Cabbage Egg Stir Fry","chinese_home","stir_fry","beginner","15","cabbage, egg","4-6","todo","todo","false",""
"5","mushroom_spinach_egg","蘑菇菠菜炒蛋","Mushroom Spinach Egg","chinese_home","stir_fry","beginner","15","mushroom, spinach, egg","4-6","todo","todo","false",""
"6","tofu_mushroom_stir_fry","蘑菇烧豆腐","Tofu Mushroom Stir Fry","chinese_home","stir_fry","normal","20","tofu, mushroom, garlic","8-14","todo","todo","false",""
"7","chicken_broccoli_stir_fry","鸡胸西兰花快炒","Chicken Broccoli Stir Fry","chinese_home","stir_fry","normal","25","chicken_breast, broccoli, garlic","8-14","todo","todo","false",""
"8","ginger_scallion_chicken_thigh","姜葱鸡腿肉","Ginger Scallion Chicken Thigh","chinese_home","stir_fry","normal","25","chicken_thigh, ginger, scallion","8-14","todo","todo","false",""
"9","beef_onion_stir_fry","洋葱牛肉片","Beef Onion Stir Fry","chinese_home","stir_fry","normal","20","beef_slice, onion","8-14","todo","todo","false",""
"10","ground_beef_tomato_tofu","番茄牛肉碎豆腐","Ground Beef Tomato Tofu","chinese_home","stir_fry","normal","25","ground_beef, tomato, tofu","8-14","todo","todo","false",""
"11","pork_cabbage_stir_fry","猪肉片炒卷心菜","Pork Cabbage Stir Fry","chinese_home","stir_fry","normal","20","pork_slice, cabbage, garlic","8-14","todo","todo","false",""
"12","shrimp_egg_stir_fry","虾仁滑蛋","Shrimp Egg Stir Fry","cantonese","stir_fry","normal","18","shrimp, egg, scallion","8-14","todo","todo","false",""
"13","white_fish_ginger_scallion","姜葱白鱼","Ginger Scallion White Fish","cantonese","stir_fry","normal","25","white_fish, ginger, scallion","8-14","todo","todo","false",""
"14","tofu_bok_choy","小白菜豆腐","Tofu Bok Choy","cantonese","stir_fry","beginner","18","tofu, bok_choy, garlic","8-14","todo","todo","false",""
"15","green_beans_ground_pork","肉末四季豆","Ground Pork Green Beans","sichuan","stir_fry","normal","25","green_beans, ground_pork, garlic","8-14","todo","todo","false",""
"16","mapo_tofu_student","留学生版麻婆豆腐","Student Mapo Tofu","sichuan","stir_fry","normal","25","tofu, ground_pork, doubanjiang","8-14","todo","todo","false",""
"17","spicy_eggplant_tofu","豆瓣茄子豆腐","Spicy Eggplant Tofu","sichuan","stir_fry","normal","28","eggplant, tofu, doubanjiang","8-14","todo","todo","false",""
"18","celery_beef_slice","芹菜牛肉片","Celery Beef Slice Stir Fry","shandong","stir_fry","normal","22","beef_slice, celery, garlic","8-14","todo","todo","false",""
"19","shandong_garlic_cabbage","醋香蒜炒卷心菜","Shandong Vinegar Garlic Cabbage","shandong","side","beginner","12","cabbage, garlic","4-6","todo","todo","false",""
"20","huaiyang_tofu_pea_mushroom","豆腐豌豆蘑菇","Huaiyang Tofu Pea Mushroom","huaiyang","stir_fry","normal","20","tofu, peas, mushroom","8-14","todo","todo","false",""
"21","huaiyang_shrimp_tofu","虾仁豆腐","Huaiyang Shrimp Tofu","huaiyang","stir_fry","normal","20","shrimp, tofu, peas","8-14","todo","todo","false",""
"22","garlic_spinach","蒜蓉菠菜","Garlic Spinach","chinese_home","side","beginner","10","spinach, garlic","4-6","todo","todo","false",""
"23","cauliflower_ground_turkey","火鸡碎炒花椰菜","Ground Turkey Cauliflower Stir Fry","chinese_home","stir_fry","normal","25","cauliflower, ground_turkey, garlic","8-14","todo","todo","false",""
"24","cabbage_chicken_thigh","鸡腿肉炒大白菜","Chicken Thigh Napa Cabbage","chinese_home","stir_fry","normal","25","chicken_thigh, napa_cabbage, ginger","8-14","todo","todo","false",""
"25","carrot_potato_chicken","胡萝卜土豆鸡块","Carrot Potato Chicken","chinese_home","stir_fry","normal","30","chicken_thigh, potato, carrot","8-14","todo","todo","false",""
"26","tomato_cauliflower_egg","番茄花菜炒蛋","Tomato Cauliflower Egg","chinese_home","stir_fry","beginner","18","tomato, cauliflower, egg","8-14","todo","todo","false",""
"27","mushroom_chicken_breast","蘑菇鸡胸肉","Mushroom Chicken Breast","chinese_home","stir_fry","normal","22","chicken_breast, mushroom, garlic","8-14","todo","todo","false",""
"28","shrimp_broccoli_garlic","蒜香虾仁西兰花","Garlic Shrimp Broccoli","cantonese","stir_fry","normal","20","shrimp, broccoli, garlic","8-14","todo","todo","false",""
"29","cucumber_egg_light_stir","黄瓜炒蛋","Cucumber Egg Stir Fry","chinese_home","stir_fry","beginner","12","cucumber, egg","4-6","todo","todo","false",""
"30","bok_choy_mushroom","小白菜炒蘑菇","Bok Choy Mushroom","cantonese","side","beginner","15","bok_choy, mushroom, garlic","4-6","todo","todo","false",""
"31","spicy_cabbage_tofu","辣油卷心菜豆腐","Chili Oil Cabbage Tofu","sichuan","stir_fry","beginner","20","cabbage, tofu, chili_oil","8-14","todo","todo","false",""
"32","pork_belly_napa_cabbage","五花肉大白菜","Pork Belly Napa Cabbage","chinese_home","stir_fry","normal","28","pork_belly, napa_cabbage, garlic","8-14","todo","todo","false",""
"33","zucchini_egg_stir_fry","西葫芦炒蛋","Zucchini Egg Stir Fry","chinese_home","stir_fry","beginner","15","zucchini, egg, garlic","4-6","todo","todo","false",""
"34","tomato_white_fish_pan","番茄白鱼锅","Tomato White Fish Pan","cantonese","stir_fry","normal","25","white_fish, tomato, ginger","8-14","todo","todo","false",""
"35","edamame_corn_tofu","毛豆玉米豆腐","Edamame Corn Tofu","chinese_home","stir_fry","beginner","18","edamame, corn, tofu","8-14","todo","todo","false",""
"36","chicken_egg_rice_bowl","鸡蛋鸡胸饭","Chicken Egg Rice Bowl","chinese_home","rice_bowl","beginner","25","rice, chicken_breast, egg","8-14","todo","todo","false",""
"37","beef_tomato_rice_bowl","番茄牛肉碎盖饭","Beef Tomato Rice Bowl","chinese_home","rice_bowl","normal","30","rice, ground_beef, tomato, onion","8-14","todo","todo","false",""
"38","tofu_vegetable_rice_bowl","豆腐蔬菜饭","Tofu Vegetable Rice Bowl","chinese_home","rice_bowl","beginner","25","rice, tofu, broccoli, carrot","8-14","todo","todo","false",""
"39","shrimp_corn_fried_rice","虾仁玉米炒饭","Shrimp Corn Fried Rice","chinese_home","fried_rice","beginner","18","rice, shrimp, corn, egg","8-14","todo","todo","false",""
"40","tuna_cucumber_rice_bowl","金枪鱼黄瓜饭","Tuna Cucumber Rice Bowl","western_simple","rice_bowl","beginner","12","rice, canned_tuna, cucumber","8-14","todo","todo","false",""
"41","mushroom_spinach_noodles","蘑菇菠菜拌面","Mushroom Spinach Noodles","chinese_home","noodle","beginner","18","noodles, mushroom, spinach","8-14","todo","todo","false",""
"42","chicken_broccoli_noodles","鸡胸西兰花炒面","Chicken Broccoli Noodles","chinese_home","noodle","normal","25","noodles, chicken_breast, broccoli","8-14","todo","todo","false",""
"43","beef_onion_udon","洋葱牛肉乌冬","Beef Onion Udon","chinese_home","noodle","normal","25","udon_noodles, beef_slice, onion","8-14","todo","todo","false",""
"44","tomato_egg_noodle_soup","番茄鸡蛋汤面","Tomato Egg Noodle Soup","chinese_home","noodle","beginner","18","noodles, tomato, egg","8-14","todo","todo","false",""
"45","cabbage_pork_noodles","卷心菜肉片炒面","Cabbage Pork Noodles","chinese_home","noodle","normal","25","noodles, pork_slice, cabbage","8-14","todo","todo","false",""
"46","sesame_tofu_noodle_bowl","芝麻豆腐黄瓜面","Sesame Tofu Cucumber Noodles","chinese_home","noodle","beginner","15","noodles, tofu, cucumber","8-14","todo","todo","false",""
"47","curry_chicken_rice","咖喱鸡肉饭","Curry Chicken Rice","western_simple","rice_bowl","normal","35","rice, chicken_thigh, potato, carrot, curry_blocks","12-18","todo","todo","false",""
"48","vegetable_curry_rice","蔬菜咖喱饭","Vegetable Curry Rice","western_simple","rice_bowl","beginner","30","rice, potato, carrot, curry_blocks","8-14","todo","todo","false",""
"49","canned_tuna_fried_rice","金枪鱼鸡蛋炒饭","Tuna Egg Fried Rice","western_simple","fried_rice","beginner","15","rice, canned_tuna, egg","8-14","todo","todo","false",""
"50","ground_pork_corn_rice_bowl","肉末玉米盖饭","Ground Pork Corn Rice Bowl","chinese_home","rice_bowl","normal","25","rice, ground_pork, corn, onion","8-14","todo","todo","false",""
"51","ramen_egg_spinach","菠菜鸡蛋拉面","Spinach Egg Ramen","chinese_home","noodle","beginner","12","ramen_noodles, egg, spinach","8-14","todo","todo","false",""
"52","shrimp_tomato_noodles","番茄虾仁面","Shrimp Tomato Noodles","chinese_home","noodle","normal","22","noodles, shrimp, tomato","8-14","todo","todo","false",""
"53","chicken_thigh_rice_cooker_pilaf","电饭煲鸡腿蔬菜饭","Rice Cooker Chicken Vegetable Rice","western_simple","rice_cooker","normal","40","rice, chicken_thigh, carrot, onion","12-18","todo","todo","false",""
"54","tofu_bok_choy_rice_bowl","小白菜豆腐盖饭","Tofu Bok Choy Rice Bowl","cantonese","rice_bowl","beginner","25","rice, tofu, bok_choy","8-14","todo","todo","false",""
"55","beef_shank_noodle_soup","牛腱汤面","Beef Shank Noodle Soup","shandong","noodle","confident","60","noodles, beef_shank, ginger, scallion","12-18","todo","todo","false",""
"56","tomato_mushroom_pasta","番茄蘑菇意面","Tomato Mushroom Pasta","western_simple","pasta","beginner","25","pasta, tomato, mushroom","8-14","todo","todo","false",""
"57","tuna_tomato_pasta","金枪鱼番茄意面","Tuna Tomato Pasta","western_simple","pasta","beginner","20","pasta, canned_tuna, canned_tomato","8-14","todo","todo","false",""
"58","ground_beef_pasta_skillet","牛肉碎意面锅","Ground Beef Pasta Skillet","western_simple","pasta","normal","30","pasta, ground_beef, pasta_sauce, onion","8-14","todo","todo","false",""
"59","chicken_broccoli_pasta","鸡胸西兰花意面","Chicken Broccoli Pasta","western_simple","pasta","normal","30","pasta, chicken_breast, broccoli","8-14","todo","todo","false",""
"60","spinach_egg_toast","菠菜鸡蛋吐司","Spinach Egg Toast","western_simple","breakfast","beginner","12","bread, egg, spinach","4-6","todo","todo","false",""
"61","peanut_butter_banana_toast","花生酱香蕉吐司","Peanut Butter Banana Toast","western_simple","sandwich_wrap","beginner","5","bread, banana, peanut_butter","4-6","todo","todo","false",""
