"sort_order","recipe_key","zh_name","en_name","assigned_to","prompt_version","status","local_filename","storage_path","cover_image_url","card_image_url","qa_notes"
"1","tomato_egg_stir_fry","番茄炒蛋","Tomato Egg Stir Fry","主控电脑","food-photo-v1","pending","tomato_egg_stir_fry_v1.webp","recipe-images/v0.1/tomato_egg_stir_fry_v1.webp","","",""
"2","scallion_egg_fried_rice","葱花鸡蛋炒饭","Scallion Egg Fried Rice","同学电脑","food-photo-v1","pending","scallion_egg_fried_rice_v1.webp","recipe-images/v0.1/scallion_egg_fried_rice_v1.webp","","",""
"3","garlic_broccoli","蒜香西兰花","Garlic Broccoli","主控电脑","food-photo-v1","pending","garlic_broccoli_v1.webp","recipe-images/v0.1/garlic_broccoli_v1.webp","","",""
"4","cabbage_egg_stir_fry","卷心菜炒蛋","Cabbage Egg Stir Fry","同学电脑","food-photo-v1","pending","cabbage_egg_stir_fry_v1.webp","recipe-images/v0.1/cabbage_egg_stir_fry_v1.webp","","",""
"5","mushroom_spinach_egg","蘑菇菠菜炒蛋","Mushroom Spinach Egg","主控电脑","food-photo-v1","pending","mushroom_spinach_egg_v1.webp","recipe-images/v0.1/mushroom_spinach_egg_v1.webp","","",""
"6","tofu_mushroom_stir_fry","蘑菇烧豆腐","Tofu Mushroom Stir Fry","同学电脑","food-photo-v1","pending","tofu_mushroom_stir_fry_v1.webp","recipe-images/v0.1/tofu_mushroom_stir_fry_v1.webp","","",""
"7","chicken_broccoli_stir_fry","鸡胸西兰花快炒","Chicken Broccoli Stir Fry","主控电脑","food-photo-v1","pending","chicken_broccoli_stir_fry_v1.webp","recipe-images/v0.1/chicken_broccoli_stir_fry_v1.webp","","",""
"8","ginger_scallion_chicken_thigh","姜葱鸡腿肉","Ginger Scallion Chicken Thigh","同学电脑","food-photo-v1","pending","ginger_scallion_chicken_thigh_v1.webp","recipe-images/v0.1/ginger_scallion_chicken_thigh_v1.webp","","",""
"9","beef_onion_stir_fry","洋葱牛肉片","Beef Onion Stir Fry","主控电脑","food-photo-v1","pending","beef_onion_stir_fry_v1.webp","recipe-images/v0.1/beef_onion_stir_fry_v1.webp","","",""
"10","ground_beef_tomato_tofu","番茄牛肉碎豆腐","Ground Beef Tomato Tofu","同学电脑","food-photo-v1","pending","ground_beef_tomato_tofu_v1.webp","recipe-images/v0.1/ground_beef_tomato_tofu_v1.webp","","",""
